100654,Alabama,Huntsville,Alabama_A&M_University
106397,Arkansas,Fayetteville,University_of_Arkansas
144050,Illinois,Chicago,University_of_Chicago
155335,Kansas,Whichita,Newman_University
163462,Maryland,Emmitsburg,Mount_St._Mary's_University
172918,Minnesota,Alexandria,Alexandria_Technical_&_Community_College
180595,Montana,Billings,Rocky_Mountain_College
190585,New_York,New_York_City,CUNY_Hostos_Community_College
196219,New_York,Purchase,SUNY_Purchase_College
203492,Ohio,Salem,Kent_State_University_at_Salem
213251,Pennsylvania,Huntingdon,Juniata_College
219259,South_Dakota,Aberdeen,Northern_State_University
228431,Texas,Nacogdoches,Stephen_F._Austin_State_University
236504,Washington,Seattle,South_Seattle_College
406547,Florida,Gainesville,City_College_at_Gainesville
